state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
Alabama,1073,2020-03-01 to 2020-03-07,0.0092378752886836,No,46.2850156806392,0.0,0.909090909090909,6.13159057538041,0.733788395904437,90.17,433,4,592.5,1,0,658573
Kansas,20057,2020-03-01 to 2020-03-07,0.0,No,71.0788499857821,0.0,0.909090909090909,2.84363009012761,0.733788395904437,80.7,15,0,30.8,1,0,33619
Pennsylvania,42107,2020-03-01 to 2020-03-07,0.0,No,72.4303918497839,0.0,0.909090909090909,2.1767273396105,0.733788395904437,63.54,30,0,190.4,1,0,141359
California,6023,2020-03-01 to 2020-03-07,0.0,No,35.7065520522522,0.0,0.909090909090909,1.69152687410555,0.733788395904437,70.24,49,0,37.7,1,0,135558
Georgia,13151,2020-03-01 to 2020-03-07,0.0087719298245614,No,47.7701139800883,0.0,0.909090909090909,4.92963450872055,0.733788395904437,86.15,114,1,633.0,1,0,234561
New York,36075,2020-03-01 to 2020-03-07,0.0689655172413793,No,62.3613923440325,0.0,0.909090909090909,1.54793210614392,0.733788395904437,38.25,29,2,128.3,1,0,117124
Colorado,8001,2020-03-01 to 2020-03-07,0.0092592592592592,No,46.0493642296352,0.0,0.909090909090909,2.72176815397906,0.733788395904437,96.38,108,1,378.2,1,0,517421
Tennessee,47071,2020-03-01 to 2020-03-07,0.0,No,83.1637948931153,0.0,0.909090909090909,4.8885077186964,0.733788395904437,32.07,4,0,45.1,1,0,25652
South Carolina,45075,2020-03-01 to 2020-03-07,0.0,No,31.2023475777476,0.0,0.909090909090909,3.57644328401509,0.733788395904437,36.22,28,0,83.6,1,0,86175
Louisiana,22103,2020-03-01 to 2020-03-07,0.0,No,76.6366011970158,0.0,0.909090909090909,5.12750605754572,0.733788395904437,76.78,124,0,276.4,1,0,260419
Montana,30081,2020-03-01 to 2020-03-07,0.0,No,70.4112481404751,0.0,0.909090909090909,0.96790394009953,0.733788395904437,15.37,1,0,16.8,1,0,43806
California,6115,2020-03-01 to 2020-03-07,0.0,No,62.991763441959,0.0,0.909090909090909,1.60802359282046,0.733788395904437,73.78,21,0,114.2,1,0,78668
Illinois,17043,2020-03-01 to 2020-03-07,0.0057142857142857,No,42.4850201884584,0.0,0.909090909090909,3.13396271186808,0.733788395904437,99.95,175,1,2799.8,1,0,922921
Washington,53077,2020-03-01 to 2020-03-07,0.0105263157894737,No,58.1591433229805,0.0,0.909090909090909,1.82482770166578,0.733788395904437,76.48,95,1,56.6,1,0,250873
Virginia,51690,2020-03-01 to 2020-03-07,0.0,No,37.8345070422905,0.0,0.909090909090909,3.42520312251075,0.733788395904437,100.0,12,0,1261.5,1,0,12554
California,6057,2020-03-01 to 2020-03-07,0.0,No,47.5505909017391,0.0,0.909090909090909,1.60994436369104,0.733788395904437,57.87,23,0,103.1,1,0,99755
Wisconsin,55009,2020-03-01 to 2020-03-07,0.0070921985815602,No,55.7378681045372,0.0,0.909090909090909,3.01086405939322,0.733788395904437,85.51,141,1,468.2,1,0,264542
Tennessee,47107,2020-03-01 to 2020-03-07,0.0,No,80.7095709571235,0.0,0.909090909090909,4.34249172770197,0.733788395904437,39.66,9,0,121.5,1,0,53794
Oklahoma,40143,2020-03-01 to 2020-03-07,0.0022573363431151,No,62.1568068794096,0.0,0.909090909090909,4.97688595844998,0.733788395904437,95.22,443,1,1058.1,1,0,651552
California,6029,2020-03-01 to 2020-03-07,0.0057034220532319,No,57.9464611345222,0.0,0.909090909090909,2.4024607810247,0.733788395904437,89.79,526,3,103.3,1,0,900202
Utah,49051,2020-03-01 to 2020-03-07,0.0909090909090909,No,66.6267160601471,0.0,0.909090909090909,0.950397465606758,0.733788395904437,73.15,11,1,20.0,1,0,34091
Louisiana,22057,2020-03-01 to 2020-03-07,0.0,No,79.1411802580089,0.0,0.909090909090909,3.63882230007991,0.733788395904437,75.78,50,0,90.2,1,0,97614
Georgia,13097,2020-03-01 to 2020-03-07,0.0,No,44.4705418294823,0.0,0.909090909090909,4.75321675789071,0.733788395904437,84.24,85,0,661.8,1,0,146343
Tennessee,47001,2020-03-01 to 2020-03-07,0.0526315789473684,No,68.0621034348282,0.0,0.909090909090909,4.19730312556834,0.733788395904437,65.34,19,1,222.8,1,0,76978
Mississippi,28105,2020-03-01 to 2020-03-07,0.008130081300813,No,49.4201778121449,0.0,0.909090909090909,4.83191158973118,0.733788395904437,63.58,123,1,104.0,1,0,49587
Missouri,29021,2020-03-01 to 2020-03-07,0.0,No,63.9609902475972,0.0,0.909090909090909,5.70601162950414,0.733788395904437,86.63,41,0,218.6,1,0,87364
Texas,48015,2020-03-01 to 2020-03-07,0.0,No,80.603880896619,0.0,0.909090909090909,3.97242940863079,0.733788395904437,33.66,3,0,44.0,1,0,30032
North Carolina,37105,2020-03-01 to 2020-03-07,0.0,No,56.759008539897,0.0,0.909090909090909,3.51899512779423,0.733788395904437,57.24,17,0,227.0,1,0,61779
Illinois,17143,2020-03-01 to 2020-03-07,0.0,No,48.5309685845564,0.0,0.909090909090909,3.16108472533054,0.733788395904437,85.35,28,0,301.2,1,0,179179
Ohio,39081,2020-03-01 to 2020-03-07,0.0,No,68.5483068554699,0.0,0.909090909090909,1.94871794871795,0.733788395904437,61.02,20,0,170.7,1,0,65325
Oregon,41049,2020-03-01 to 2020-03-07,0.0,No,72.879524581288,0.0,0.909090909090909,1.86158752046884,0.733788395904437,54.13,1,0,5.5,1,0,11603
Pennsylvania,42125,2020-03-01 to 2020-03-07,0.0,No,63.121539565458,0.0,0.909090909090909,2.5900949894859,0.733788395904437,69.18,71,0,242.5,1,0,206865
Maryland,24037,2020-03-01 to 2020-03-07,0.0,No,63.0087873461735,0.0,0.909090909090909,2.94247202889613,0.733788395904437,49.58,50,0,294.4,1,0,113510
Oregon,41005,2020-03-01 to 2020-03-07,0.0071942446043165,No,46.7134222358985,0.0,0.909090909090909,2.03067048951785,0.733788395904437,81.92,139,1,201.0,1,0,418187
California,6101,2020-03-01 to 2020-03-07,0.0,No,58.6487714515181,0.0,0.909090909090909,2.85858658774273,0.733788395904437,85.2,37,0,157.3,1,0,96971
Oregon,41057,2020-03-01 to 2020-03-07,0.0,No,53.2206449495173,0.0,0.909090909090909,1.93445776002367,0.733788395904437,30.4,3,0,22.9,1,0,27036
California,6035,2020-03-01 to 2020-03-07,0.0,No,77.3014901000229,0.0,0.909090909090909,1.39338632126386,0.733788395904437,29.47,9,0,7.7,1,0,30573
Virginia,51680,2020-03-01 to 2020-03-07,0.0,No,54.870902765078,0.0,0.909090909090909,4.59059487878493,0.733788395904437,97.31,104,0,1538.2,1,0,82168
